"place","pop1980","pop2000","pop2010","pop2023","pop2024","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","unMember","netChange","growthRate","worldPercentage","density","densityMi","rank","cca2Disp","countryDisp","pop2024Disp","pop2023Disp","areaDisp","landAreaKmDisp","densityDisp","growthRateDisp","worldPercentageDisp","rankDisp","unMemberDisp"
663,7776,29610,36458,32077,32337.000000000004,33508,35453,"Saint Martin",53,50,"MF","MAF",false,0,0.0081,0,646.74,1675.0566,220,[object Object],[object Object],[object Object],"32,077","53","50","647",[object Object],[object Object],220,[object Object]
92,11109,20104,27556,31538,31763,32995,34768,"British Virgin Islands",151,150,"VG","VGB",false,0,0.0071,0,211.7533,548.4411,221,[object Object],[object Object],[object Object],"31,538","151","150","212",[object Object],[object Object],221,[object Object]
585,12252,19726,18540,18058,18051,17919,16689,"Palau",459,460,"PW","PLW",true,,-0.0004,0,39.2413,101.635,222,[object Object],[object Object],[object Object],"18,058","459","460","39",[object Object],[object Object],222,[object Object]
184,17651,15897,17212,17044,17072,17253,17674,"Cook Islands",240,240,"CK","COK",false,0,0.0016,0,71.1333,184.2353,223,[object Object],[object Object],[object Object],"17,044","240","240","71",[object Object],[object Object],223,[object Object]
660,6560,11047,13172,15899,15936,16055,15294,"Anguilla",91,91,"AI","AIA",false,0,0.0023,0,175.1209,453.5631,224,[object Object],[object Object],[object Object],"15,899","91","91","175",[object Object],[object Object],224,[object Object]
520,7635,10377,10241,12780,12884,13358,14695,"Nauru",21,20,"NR","NRU",true,0,0.0081,0,644.2,1668.478,225,[object Object],[object Object],[object Object],"12,780","21","20","644",[object Object],[object Object],225,[object Object]
798,7731,9638,10550,11396,11478,11917,13211,"Tuvalu",26,30,"TV","TUV",true,0,0.0072,0,382.6,990.934,226,[object Object],[object Object],[object Object],"11,396","26","30","383",[object Object],[object Object],226,[object Object]
876,11315,14723,13142,11502,11439,11229,11349,"Wallis and Futuna",274,274,"WF","WLF",false,0,-0.0055,0,41.7482,108.1278,227,[object Object],[object Object],[object Object],"11,502","274","274","42",[object Object],[object Object],227,[object Object]
652,2983,7082,8988,10994,11019,11113,10210,"Saint Barthelemy",21,25,"BL","BLM",false,,0.0023,0,440.76,1141.5684,228,[object Object],[object Object],[object Object],"10,994","21","25","441",[object Object],[object Object],228,[object Object]
666,6106,6274,6052,5840,5815,5651,5165,"Saint Pierre and Miquelon",242,242,"PM","SPM",false,,-0.0043,,24.0289,62.2349,229,[object Object],[object Object],[object Object],"5,840","242","242","24",[object Object],[object Object],229,[object Object]
500,11452,5138,4938,4386,4372,4301,3781,"Montserrat",102,102,"MS","MSR",false,,-0.0032,,42.8627,111.0145,230,[object Object],[object Object],[object Object],"4,386","102","102","43",[object Object],[object Object],230,[object Object]
238,2240,3080,3187,3791,3803,3869,3779,"Falkland Islands",12173,12173,"FK","FLK",false,,0.0032,,0.3124,0.8091,231,[object Object],[object Object],[object Object],"3,791","12.2K","12.2K","0.31",[object Object],[object Object],231,[object Object]
570,3637,2074,1812,1935,1935,1948,2096,"Niue",261,261,"NU","NIU",false,0,0,,7.4138,19.2017,232,[object Object],[object Object],[object Object],"1,935","261","261","7",[object Object],[object Object],232,[object Object]
772,1647,1666,1367,1893,1915,2045.9999999999998,2430,"Tokelau",12,10,"TK","TKL",false,,0.0116,,191.5,495.985,233,[object Object],[object Object],[object Object],"1,893","12","10","192",[object Object],[object Object],233,[object Object]
336,733,651,596,764,764,764,764,"Vatican City",0.44,0.44,"VA","VAT",true,,0,,1736.3636,4497.1818,234,[object Object],[object Object],[object Object],"764","< 1","< 1","1,736",[object Object],[object Object],234,[object Object]
