"place","pop1980","pop2000","pop2010","pop2023","pop2024","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","unMember","netChange","growthRate","worldPercentage","density","densityMi","rank","cca2Disp","countryDisp","pop2024Disp","pop2023Disp","areaDisp","landAreaKmDisp","densityDisp","growthRateDisp","worldPercentageDisp","rankDisp","unMemberDisp"
226,282509,684977,1094524,1714671,1754993,1999678,2790533,"Equatorial Guinea",28051,28050,"GQ","GNQ",true,0.0013,0.0235,0.0002,62.5666,162.0475,152,[object Object],[object Object],[object Object],"1,714,671","28.1K","28.1K","63",[object Object],[object Object],152,[object Object]
780,1127852,1332203,1410296,1534937,1538200,1547690,1485139,"Trinidad and Tobago",5130,5130,"TT","TTO",true,0.0001,0.0021,0.0002,299.8441,776.5961,153,[object Object],[object Object],[object Object],"1,534,937","5.1K","5.1K","300",[object Object],[object Object],153,[object Object]
48,362595,711442,1213645,1485509,1498712,1574679,1809237,"Bahrain",765,785,"BH","BHR",true,0.0004,0.0089,0.0002,1909.1873,4944.795,154,[object Object],[object Object],[object Object],"1,485,509","765","785","1,909",[object Object],[object Object],154,[object Object]
626,642224,878360,1088486,1360596,1379883,1495081,1806869,"Timor-Leste",14874,14870,"TL","TLS",true,0.0006,0.0142,0.0002,92.7964,240.3428,155,[object Object],[object Object],[object Object],"1,360,596","14.9K","14.9K","93",[object Object],[object Object],155,[object Object]
233,1476983,1396877,1331535,1322765,1319041,1289441,1171695,"Estonia",45227,42750,"EE","EST",true,-0.0001,-0.0028,0.0002,30.8548,79.9138,156,[object Object],[object Object],[object Object],"1,322,765","45.2K","42.8K","31",[object Object],[object Object],156,[object Object]
480,954865,1215930,1283330,1300557,1301978,1305425,1226235,"Mauritius",2040,2030,"MU","MUS",true,0,0.0011,0.0002,641.3685,1661.1443,157,[object Object],[object Object],[object Object],"1,300,557","2K","2K","641",[object Object],[object Object],157,[object Object]
196,679327,948237,1129686,1260138,1268467,1311784,1391785,"Cyprus",9251,9240,"CY","CYP",true,0.0003,0.0066,0.0002,137.28,355.5551,158,[object Object],[object Object],[object Object],"1,260,138","9.3K","9.2K","137",[object Object],[object Object],158,[object Object]
748,598564,1030496.0000000001,1099920,1210822,1222075,1305985,1655121,"Eswatini",17364,17200,"SZ","SWZ",true,0.0004,0.0093,0.0002,71.0509,184.0218,159,[object Object],[object Object],[object Object],"1,210,822","17.4K","17.2K","71",[object Object],[object Object],159,[object Object]
262,324121,742033,919199,1136455,1152329,1247129,1502575,"Djibouti",23200,23180,"DJ","DJI",true,0.0005,0.014,0.0001,49.7122,128.7546,160,[object Object],[object Object],[object Object],"1,136,455","23.2K","23.2K","50",[object Object],[object Object],160,[object Object]
638,551674,785424,890130,981796,989350,1031821.9999999999,1127252,"Reunion",2511,2512,"RE","REU",false,0.0002,0.0077,0.0001,393.8495,1020.0703,161,[object Object],[object Object],[object Object],"981,796","2.5K","2.5K","394",[object Object],[object Object],161,[object Object]
242,644582,832509,905169,936375,943072,986172,1094174,"Fiji",18272,18270,"FJ","FJI",true,0.0002,0.0072,0.0001,51.6186,133.6922,162,[object Object],[object Object],[object Object],"936,375","18.3K","18.3K","52",[object Object],[object Object],162,[object Object]
174,328328,536758,656024,852075,867605,959412,1246207,"Comoros",1862,1861,"KM","COM",true,0.0005,0.0182,0.0001,466.2037,1207.4675,163,[object Object],[object Object],[object Object],"852,075","1.9K","1.9K","466",[object Object],[object Object],163,[object Object]
328,778176,759051,747932,813834,819594,848033,878746,"Guyana",214969,196850,"GY","GUY",true,0.0002,0.0071,0.0001,4.1635,10.7836,164,[object Object],[object Object],[object Object],"813,834","215K","196.8K","4",[object Object],[object Object],164,[object Object]
64,415257,587207,705516,787424,792382,821498,874294,"Bhutan",38394,38140,"BT","BTN",true,0.0002,0.0063,0.0001,20.7756,53.8088,165,[object Object],[object Object],[object Object],"787,424","38.4K","38.1K","21",[object Object],[object Object],165,[object Object]
90,233668,429978,540394,740424,756673,856264,1225407,"Solomon Islands",28896,27990,"SB","SLB",true,0.0005,0.0219,0.0001,27.0337,70.0173,166,[object Object],[object Object],[object Object],"740,424","28.9K","28K","27",[object Object],[object Object],166,[object Object]
446,245332,431896,557297,704149,713082,763371,881666,"Macau",32.9,32.9,"MO","MAC",false,0.0003,0.0127,0.0001,21674.2249,56136.2426,167,[object Object],[object Object],[object Object],"704,149","33","33","21,674",[object Object],[object Object],167,[object Object]
442,363741,435628,507070,654768,661594,697086,781910,"Luxembourg",2586,2574.5,"LU","LUX",true,0.0002,0.0104,0.0001,256.9796,665.5772,168,[object Object],[object Object],[object Object],"654,768","2.6K","2.6K","257",[object Object],[object Object],168,[object Object]
740,375112,478998,546080,623236,628785,659508,725519,"Suriname",163820,156000,"SR","SUR",true,0.0002,0.0089,0.0001,4.0307,10.4394,169,[object Object],[object Object],[object Object],"623,236","163.8K","156K","4",[object Object],[object Object],169,[object Object]
499,589324,633324,631044,626485,626102,621696,586385,"Montenegro",13812,13450,"ME","MNE",true,0,-0.0006,0.0001,46.5503,120.5654,170,[object Object],[object Object],[object Object],"626,485","13.8K","13.4K","47",[object Object],[object Object],170,[object Object]
132,317234,458251,521212,598682,604461,638840,727457,"Cape Verde",4033,4033,"CV","CPV",true,0.0002,0.0097,0.0001,149.8788,388.186,171,[object Object],[object Object],[object Object],"598,682","4K","4K","150",[object Object],[object Object],171,[object Object]
732,116775,270375,413296,587259,598385,662726,851067,"Western Sahara",266000,266000,"EH","ESH",false,0.0004,0.0189,0.0001,2.2496,5.8264,172,[object Object],[object Object],[object Object],"587,259","266K","266K","2",[object Object],[object Object],172,[object Object]
470,333587,399212,418755,535064,536740,543425,522736.99999999994,"Malta",316,320,"MT","MLT",true,0.0001,0.0031,0.0001,1677.3125,4344.2394,173,[object Object],[object Object],[object Object],"535,064","316","320","1,677",[object Object],[object Object],173,[object Object]
462,164887,282507,361575,521020.99999999994,517886.99999999994,512683,569909,"Maldives",300,300,"MV","MDV",true,-0.0001,-0.006,0.0001,1726.29,4471.0911,174,[object Object],[object Object],[object Object],"521,021","300","300","1,726",[object Object],[object Object],174,[object Object]
96,187921,333926,396053,452524,455858,473312,498373,"Brunei",5765,5270,"BN","BRN",true,0.0001,0.0074,0.0001,86.5006,224.0365,175,[object Object],[object Object],[object Object],"452,524","5.8K","5.3K","87",[object Object],[object Object],175,[object Object]
84,145133,240406,322106,410825,416656,450428,538838,"Belize",22966,22810,"BZ","BLZ",true,0.0002,0.0142,0.0001,18.2664,47.3099,176,[object Object],[object Object],[object Object],"410,825","23K","22.8K","18",[object Object],[object Object],176,[object Object]
44,223752,325014,373272,412623,415223,429846,450625,"Bahamas",13943,10010,"BS","BHS",true,0.0001,0.0063,0.0001,41.4808,107.4353,177,[object Object],[object Object],[object Object],"412,623","13.9K","10K","41",[object Object],[object Object],177,[object Object]
312,334234,424067,403072,395839,396346,399728,388861,"Guadeloupe",1628,1628,"GP","GLP",false,0,0.0013,0,243.4558,630.5505,178,[object Object],[object Object],[object Object],"395,839","1.6K","1.6K","243",[object Object],[object Object],178,[object Object]
352,228263,281462,318333,375318,377689,390338,408783,"Iceland",103000,100830,"IS","ISL",true,0.0001,0.0063,0,3.7458,9.7016,179,[object Object],[object Object],[object Object],"375,318","103K","100.8K","4",[object Object],[object Object],179,[object Object]
474,333786,432543,392181,366981,366416,362472,330121,"Martinique",1128,1128,"MQ","MTQ",false,0,-0.0015,0,324.8369,841.3275,180,[object Object],[object Object],[object Object],"366,981","1.1K","1.1K","325",[object Object],[object Object],180,[object Object]
175,52233,159215,211786,335995,345996,407579,664141,"Mayotte",374,374,"YT","MYT",false,0.0003,0.0298,0,925.123,2396.0686,181,[object Object],[object Object],[object Object],"335,995","374","374","925",[object Object],[object Object],181,[object Object]
